Holiday,Temp(in K),Temp(in C),Temp(in F),Rain_1h,Snow_1h,Clouds_all,Weather_main,Weather_description,Traffic_volume,Date,Time
-,288.28,15.13,59.234,0.0,0.0,40,Clouds,Scattered clouds,5545,2012-10-02,09:00:00
-,289.36,16.21,61.178,0.0,0.0,75,Clouds,Broken clouds,4516,2012-10-02,10:00:00
-,289.58,16.43,61.574,0.0,0.0,90,Clouds,Overcast clouds,4767,2012-10-02,11:00:00
-,290.13,16.98,62.564,0.0,0.0,90,Clouds,Overcast clouds,5026,2012-10-02,12:00:00
-,291.14,17.99,64.382,0.0,0.0,75,Clouds,Broken clouds,4918,2012-10-02,13:00:00
-,291.72,18.57,65.426,0.0,0.0,1,Clear,Sky is clear,5181,2012-10-02,14:00:00
-,293.17,20.02,68.036,0.0,0.0,1,Clear,Sky is clear,5584,2012-10-02,15:00:00
-,293.86,20.71,69.278,0.0,0.0,1,Clear,Sky is clear,6015,2012-10-02,16:00:00
-,294.14,20.99,69.782,0.0,0.0,20,Clouds,Few clouds,5791,2012-10-02,17:00:00
-,293.1,19.95,67.91,0.0,0.0,20,Clouds,Few clouds,4770,2012-10-02,18:00:00
-,290.97,17.82,64.076,0.0,0.0,20,Clouds,Few clouds,3539,2012-10-02,19:00:00
-,289.38,16.23,61.214,0.0,0.0,1,Clear,Sky is clear,2784,2012-10-02,20:00:00
-,288.61,15.46,59.828,0.0,0.0,1,Clear,Sky is clear,2361,2012-10-02,21:00:00
-,287.16,14.01,57.218,0.0,0.0,1,Clear,Sky is clear,1529,2012-10-02,22:00:00
-,285.45,12.3,54.14,0.0,0.0,1,Clear,Sky is clear,963,2012-10-02,23:00:00
-,284.63,11.48,52.664,0.0,0.0,1,Clear,Sky is clear,506,2012-10-03,00:00:00
-,283.47,10.32,50.576,0.0,0.0,1,Clear,Sky is clear,321,2012-10-03,01:00:00
-,281.18,8.03,46.454,0.0,0.0,1,Clear,Sky is clear,273,2012-10-03,02:00:00
-,281.09,7.94,46.292,0.0,0.0,1,Clear,Sky is clear,367,2012-10-03,03:00:00
-,279.53,6.38,43.484,0.0,0.0,1,Clear,Sky is clear,814,2012-10-03,04:00:00
-,278.62,5.47,41.846,0.0,0.0,1,Clear,Sky is clear,2718,2012-10-03,05:00:00
-,278.23,5.08,41.144,0.0,0.0,1,Clear,Sky is clear,5673,2012-10-03,06:00:00
-,278.12,4.97,40.946,0.0,0.0,1,Clear,Sky is clear,6511,2012-10-03,08:00:00
-,282.48,9.33,48.794,0.0,0.0,1,Clear,Sky is clear,5471,2012-10-03,09:00:00
-,291.97,18.82,65.876,0.0,0.0,1,Clear,Sky is clear,5097,2012-10-03,12:00:00
-,293.23,20.08,68.144,0.0,0.0,1,Clear,Sky is clear,4887,2012-10-03,13:00:00
-,294.31,21.16,70.088,0.0,0.0,1,Clear,Sky is clear,5337,2012-10-03,14:00:00
-,295.17,22.02,71.636,0.0,0.0,1,Clear,Sky is clear,5692,2012-10-03,15:00:00
-,295.13,21.98,71.564,0.0,0.0,1,Clear,Sky is clear,6137,2012-10-03,16:00:00
-,293.66,20.51,68.918,0.0,0.0,20,Clouds,Few clouds,4623,2012-10-03,18:00:00
-,290.65,17.5,63.5,0.0,0.0,20,Clouds,Few clouds,3591,2012-10-03,19:00:00
-,288.19,15.04,59.072,0.0,0.0,20,Clouds,Few clouds,2898,2012-10-03,20:00:00
-,287.1,13.95,57.11,0.0,0.0,1,Clear,Sky is clear,2637,2012-10-03,21:00:00
-,286.25,13.1,55.58,0.0,0.0,1,Clear,Sky is clear,1777,2012-10-03,22:00:00
-,285.26,12.11,53.798,0.0,0.0,1,Clear,Sky is clear,1015,2012-10-03,23:00:00
-,284.55,11.4,52.52,0.0,0.0,1,Clear,Sky is clear,598,2012-10-04,00:00:00
-,283.47,10.32,50.576,0.0,0.0,1,Clear,Sky is clear,369,2012-10-04,01:00:00
-,283.17,10.02,50.036,0.0,0.0,1,Clear,Sky is clear,312,2012-10-04,02:00:00
-,282.04,8.89,48.002,0.0,0.0,1,Clear,Sky is clear,367,2012-10-04,03:00:00
-,281.69,8.54,47.372,0.0,0.0,1,Clear,Sky is clear,835,2012-10-04,04:00:00
-,281.32,8.17,46.706,0.0,0.0,1,Clear,Sky is clear,2726,2012-10-04,05:00:00
-,280.74,7.59,45.662,0.0,0.0,1,Clear,Sky is clear,5689,2012-10-04,06:00:00
-,280.57,7.42,45.356,0.0,0.0,1,Clear,Sky is clear,6990,2012-10-04,07:00:00
-,281.86,8.71,47.678,0.0,0.0,1,Clear,Sky is clear,5985,2012-10-04,08:00:00
-,284.98,11.83,53.294,0.0,0.0,1,Clear,Sky is clear,5309,2012-10-04,09:00:00
-,289.18,16.03,60.854,0.0,0.0,1,Clear,Sky is clear,4603,2012-10-04,10:00:00
-,291.55,18.4,65.12,0.0,0.0,1,Clear,Sky is clear,4884,2012-10-04,11:00:00
-,294.97,21.82,71.276,0.0,0.0,1,Clear,Sky is clear,5104,2012-10-04,12:00:00
-,296.38,23.23,73.814,0.0,0.0,1,Clear,Sky is clear,5178,2012-10-04,13:00:00
-,297.32,24.17,75.506,0.0,0.0,1,Clear,Sky is clear,5501,2012-10-04,14:00:00
-,298.17,25.02,77.036,0.0,0.0,1,Clear,Sky is clear,5713,2012-10-04,15:00:00
-,298.06,24.91,76.838,0.0,0.0,20,Clouds,Few clouds,6292,2012-10-04,16:00:00
-,297.67,24.52,76.136,0.0,0.0,20,Clouds,Few clouds,6057,2012-10-04,17:00:00
-,296.36,23.21,73.778,0.0,0.0,40,Clouds,Scattered clouds,4907,2012-10-04,18:00:00
-,293.85,20.7,69.26,0.0,0.0,40,Clouds,Scattered clouds,3503,2012-10-04,19:00:00
-,292.43,19.28,66.704,0.0,0.0,40,Clouds,Scattered clouds,3037,2012-10-04,20:00:00
-,291.77,18.62,65.516,0.0,0.0,75,Clouds,Broken clouds,2822,2012-10-04,21:00:00
-,291.36,18.21,64.778,0.0,0.0,75,Clouds,Broken clouds,1992,2012-10-04,22:00:00
-,291.12,17.97,64.346,0.0,0.0,75,Clouds,Broken clouds,1166,2012-10-04,23:00:00
-,290.63,17.48,63.464,0.0,0.0,75,Clouds,Broken clouds,627,2012-10-05,00:00:00
-,290.46,17.31,63.158,0.0,0.0,40,Clouds,Scattered clouds,388,2012-10-05,01:00:00
-,289.26,16.11,60.998,0.0,0.0,0,Clear,Sky is clear,368,2012-10-05,03:00:00
-,283.21,10.06,50.108,0.0,0.0,75,Clouds,Broken clouds,2489,2012-10-05,05:00:00
-,282.24,9.09,48.362,0.0,0.0,90,Clouds,Overcast clouds,5537,2012-10-05,06:00:00
-,281.69,8.54,47.372,0.0,0.0,90,Clouds,Overcast clouds,6628,2012-10-05,07:00:00
-,280.57,7.42,45.356,0.0,0.0,90,Clouds,Overcast clouds,5534,2012-10-05,08:00:00
-,280.02,6.87,44.366,0.0,0.0,75,Clouds,Broken clouds,5403,2012-10-05,09:00:00
-,280.11,6.96,44.528,0.0,0.0,75,Clouds,Broken clouds,4770,2012-10-05,10:00:00
-,280.0,6.85,44.33,0.0,0.0,90,Clouds,Overcast clouds,5217,2012-10-05,11:00:00
-,280.53,7.38,45.284,0.0,0.0,90,Clouds,Overcast clouds,5870,2012-10-05,12:00:00
-,281.43,8.28,46.904,0.0,0.0,75,Clouds,Broken clouds,5967,2012-10-05,13:00:00
-,281.78,8.63,47.534,0.0,0.0,90,Clouds,Overcast clouds,6108,2012-10-05,14:00:00
-,281.91,8.76,47.768,0.0,0.0,90,Clouds,Overcast clouds,6128,2012-10-05,15:00:00
-,281.73,8.58,47.444,0.0,0.0,90,Clouds,Overcast clouds,6069,2012-10-05,16:00:00
-,281.42,8.27,46.886,0.0,0.0,90,Clouds,Overcast clouds,6169,2012-10-05,17:00:00
-,280.87,7.72,45.896,0.0,0.0,90,Clouds,Overcast clouds,5384,2012-10-05,18:00:00
-,280.15,7.0,44.6,0.0,0.0,90,Clouds,Overcast clouds,4063,2012-10-05,19:00:00
-,279.78,6.63,43.934,0.0,0.0,90,Clouds,Overcast clouds,3364,2012-10-05,20:00:00
-,279.65,6.5,43.7,0.0,0.0,75,Clouds,Broken clouds,2971,2012-10-05,21:00:00
-,279.22,6.07,42.926,0.0,0.0,40,Clouds,Scattered clouds,2450,2012-10-05,22:00:00
-,279.06,5.91,42.638,0.0,0.0,40,Clouds,Scattered clouds,1832,2012-10-05,23:00:00
-,278.81,5.66,42.188,0.0,0.0,90,Clouds,Overcast clouds,1231,2012-10-06,00:00:00
-,278.55,5.4,41.72,0.0,0.0,90,Clouds,Overcast clouds,718,2012-10-06,01:00:00
-,278.59,5.44,41.792,0.0,0.0,90,Clouds,Overcast clouds,545,2012-10-06,02:00:00
-,276.99,3.84,38.912,0.0,0.0,75,Clouds,Broken clouds,411,2012-10-06,04:00:00
-,276.35,3.2,37.76,0.0,0.0,20,Clouds,Few clouds,688,2012-10-06,05:00:00
-,275.4,2.25,36.05,0.0,0.0,1,Clear,Sky is clear,1352,2012-10-06,06:00:00
-,275.17,2.02,35.636,0.0,0.0,1,Clear,Sky is clear,2072,2012-10-06,07:00:00
-,274.99,1.84,35.312,0.0,0.0,1,Clear,Sky is clear,3342,2012-10-06,08:00:00
-,275.09,1.94,35.492,0.0,0.0,40,Clouds,Scattered clouds,4258,2012-10-06,09:00:00
-,276.88,3.73,38.714,0.0,0.0,20,Clouds,Few clouds,4861,2012-10-06,10:00:00
-,278.04,4.89,40.802,0.0,0.0,20,Clouds,Few clouds,5191,2012-10-06,11:00:00
-,279.08,5.93,42.674,0.0,0.0,40,Clouds,Scattered clouds,5669,2012-10-06,12:00:00
-,280.12,6.97,44.546,0.0,0.0,75,Clouds,Broken clouds,5074,2012-10-06,13:00:00
-,280.25,7.1,44.78,0.0,0.0,75,Clouds,Broken clouds,5025,2012-10-06,14:00:00
-,280.0,6.85,44.33,0.0,0.0,75,Clouds,Broken clouds,5153,2012-10-06,15:00:00
-,279.06,5.91,42.638,0.0,0.0,90,Clouds,Overcast clouds,5024,2012-10-06,16:00:00
-,278.91,5.76,42.368,0.0,0.0,90,Clouds,Overcast clouds,4779,2012-10-06,17:00:00
-,278.39,5.24,41.432,0.0,0.0,90,Clouds,Overcast clouds,4362,2012-10-06,18:00:00
-,278.16,5.01,41.018,0.0,0.0,90,Clouds,Overcast clouds,3860,2012-10-06,19:00:00
